match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type
18,1,0,1,Devdutt Padikkal,Left,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,0,2,Devdutt Padikkal,Left,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,0,3,Devdutt Padikkal,Left,Ronit More,Right,fast,pace,6,0,FALSE,,TRUE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,0,4,Devdutt Padikkal,Left,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,0,5,Devdutt Padikkal,Left,Ronit More,Right,fast,pace,1,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,0,6,Mohammed Taha,Right,Ronit More,Right,fast,pace,1,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,1,1,Mohammed Taha,Right,Macneil Hadley Noronha,Right,offspin,spin,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,1,2,Mohammed Taha,Right,Macneil Hadley Noronha,Right,offspin,spin,0,1,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,LB
18,1,1,3,Devdutt Padikkal,Left,Macneil Hadley Noronha,Right,offspin,spin,2,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,1,4,Devdutt Padikkal,Left,Macneil Hadley Noronha,Right,offspin,spin,1,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,1,5,Mohammed Taha,Right,Macneil Hadley Noronha,Right,offspin,spin,4,0,FALSE,,TRUE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,1,6,Mohammed Taha,Right,Macneil Hadley Noronha,Right,offspin,spin,0,1,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,LB
18,1,2,1,Mohammed Taha,Right,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,2,2,Mohammed Taha,Right,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,2,3,Mohammed Taha,Right,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,2,4,Mohammed Taha,Right,Ronit More,Right,fast,pace,6,0,FALSE,,TRUE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,2,5,Mohammed Taha,Right,Ronit More,Right,fast,pace,0,0,TRUE,CAUGHT,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
18,1,2,6,Vijaya Basavaraj Raj,Right,Ronit More,Right,fast,pace,0,0,FALSE,,FALSE,Hubli Tigers,Mangaluru Dragons,152,7,129,10,
