match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
26,1,0,1,Chethan LR,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,0,2,Mayank Agarwal,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,0,3,Chethan LR,Right,P Dubey,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,0,4,Chethan LR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,0,5,Chethan LR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,0,6,Chethan LR,Right,P Dubey,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,1,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,2,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,3,Chethan LR,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,4,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,5,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,1,6,Chethan LR,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,1,Mayank Agarwal,Right,L Kaushal,Right,fast,pace,6,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,2,Mayank Agarwal,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,3,Chethan LR,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,4,Chethan LR,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,5,Mayank Agarwal,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,2,5,Mayank Agarwal,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,2,6,Chethan LR,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,1,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,2,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,3,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,4,Mayank Agarwal,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,5,Chethan LR,Right,P Shekawat,Right,fast,pace,0,0,TRUE,CAUGHT,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,3,6,Rohan Patil,Left,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,1,Rohan Patil,Left,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,2,Rohan Patil,Left,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,3,Mayank Agarwal,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,4,Rohan Patil,Left,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,5,Rohan Patil,Left,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,4,6,Mayank Agarwal,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,1,Rohan Patil,Left,V Vijaykumar,Right,fast,pace,0,0,TRUE,RUNOUT,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,2,Mayank Agarwal,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,3,Mayank Agarwal,Right,V Vijaykumar,Right,fast,pace,0,0,TRUE,BOWLED,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,4,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,5,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,5,6,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,1,Shubhang Hegde,Left,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,6,1,Shubhang Hegde,Left,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,2,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,3,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,4,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,5,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,6,6,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,6,6,Bhuvan Raju,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,1,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,2,Bhuvan Raju,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,3,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,2,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,4,Shubhang Hegde,Left,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,5,Bhuvan Raju,Right,V Vijaykumar,Right,fast,pace,0,0,TRUE,CAUGHT,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,7,6,Suraj Ajya Ahuja,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,1,Shubhang Hegde,Left,Bannur,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,2,Shubhang Hegde,Left,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,3,Suraj Ajya Ahuja,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,4,Shubhang Hegde,Left,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,5,Suraj Ajya Ahuja,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,8,6,Shubhang Hegde,Left,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,1,Shubhang Hegde,Left,Shashi Kumar,Right,fast,pace,0,0,TRUE,Other,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,2,Shubhang Hegde,Left,Shashi Kumar,Right,fast,pace,0,0,TRUE,LBW,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,3,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,4,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,5,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,9,6,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,1,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,2,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,6,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,3,Suraj Ajya Ahuja,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,4,Gneshwar Naveen,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,5,Gneshwar Naveen,Right,P Shekawat,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,10,6,Gneshwar Naveen,Right,P Shekawat,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,11,1,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,LB,
26,1,11,2,Suraj Ajya Ahuja,Right,Shashi Kumar,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,LB,
26,1,11,3,Gneshwar Naveen,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
