match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_battingfirst,team2_battingsecond,team1_score,team1_wickets,team2_score,team2_wickets,extra_type
30,1,0,1,Lochan S Gowda,Right,P Dubey,Right,fast,pace,0,0,TRUE,BOWLED,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,0,2,Thippa Reddy,Left,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,0,3,Thippa Reddy,Left,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,0,4,Sharath BR,Right,P Dubey,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,0,5,Sharath BR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,0,6,Sharath BR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,1,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,2,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,3,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,4,Sharath BR,Right,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,5,Sharath BR,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,1,6,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,2,1,Sharath BR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,2,2,Sharath BR,Right,P Dubey,Right,fast,pace,6,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,2,3,Sharath BR,Right,P Dubey,Right,fast,pace,6,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,2,4,Sharath BR,Right,P Dubey,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,2,5,Sharath BR,Right,P Dubey,Right,fast,pace,0,4,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,LB
30,1,2,6,Sharath BR,Right,P Dubey,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,1,Sharath BR,Right,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,2,Sharath BR,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,3,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,4,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,5,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,3,6,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,Wide
30,1,3,6,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,Wide
30,1,3,6,Thippa Reddy,Left,V Vijaykumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,1,Sharath BR,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,2,Sharath BR,Right,L Kaushal,Right,fast,pace,0,0,TRUE,Bowled,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,3,Aneesh K V,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,4,Thippa Reddy,Left,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,5,Thippa Reddy,Left,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,Wide
30,1,4,5,Thippa Reddy,Left,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,4,6,Aneesh K V,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,1,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,2,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,3,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,6,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,4,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,5,Thippa Reddy,Left,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,5,6,Aneesh K V,Right,Shashi Kumar,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,6,1,Aneesh K V,Right,Bannur,Right,fast,pace,4,0,FALSE,,TRUE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,6,2,Aneesh K V,Right,Bannur,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,6,3,Aneesh K V,Right,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,6,4,Thippa Reddy,Left,Bannur,Right,fast,pace,0,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
30,1,6,5,Thippa Reddy,Left,Bannur,Right,fast,pace,1,0,FALSE,,FALSE,Mangaluru Dragons,Gulbarga Mystics,180,6,141,9,
