batsman
Lochan S Gowda
Sharath BR
Aneesh K V
Macneil Hadley Noronha
Aadarsh Prajwal
Shreyas Gopal
Shivraj S
Kranthi Kumar
Pallavkumar Das
Sisodia
N Jose
Mohith
S Ravichandran
P Pavan
P Dubey
V Vijaykumar
Y Baig
P Shekawat
L Kaushal
K Shashi Kumar
Karthik S U
Codanda Ajit Karthik
M Venkatesh
Harshil Dharmani
Lankesh KS
Manish Pandey
Sumit Kumar
Chethan LR
Rohan Patil
Mayank Agarwal
Bhuvan Raju
Shubhang Hegde
Suraj Ajya Ahuja
Rohan Naveen
Vidyadhar Patil
Prateek Jain
Mohsin Khan
Prakhar Chaturvedi
Mohammed Taha
Devdutt Padikkal
Krishnan Shrijith
Abhinav Manohar
Manvanth Kumar
D Prabhakar
N Ullal
H Raj
Rohit K
A Gautam
A Joshi
Avinash D
B Dhuri
Yashovardhan Parantap
Krishnappa Gowtham
Shikhar Shetty
Kumar LR
M Gneshwar Naveen
Karthikeya KP
Samarth Nagaraj
Shivkumar Rakshith
Abilash Shetty
Shreevathsa Acharya
T Singh
V Koushik
K Siddharth
Siddharth Akhil
Darshan MB
Ritesh Bhatkal
Nischith Pai
KC Cariappa
Shreesha Achar
Thippa Reddy
M Gneshwar naveen
Madhav Prakash Bajaj
Vijaya Basavaraj Raj
A Doddamani
Sachin Shinde
Ronit More
Sankalp Shettennavar
Srinivas Sharath
S Ashwin
Ashok D
V Kaverappa
F Riaz
Sagar Gowtham
Gneshwar Naveen
Aashish Mahesh
K Rohit
D Avinash
R K
MB Darshan
H Khuba
Joseph
Shashi Kumar
Kruthik Krishna
Bannur
