bowler
M Reddy
V Vijaykumar
L Kaushal
P Dubey
P Shekawat
Kamble Shashi Kumar
Abhilash Shetty
Shreyas Gopal
Ronit More
Macneil Hadley Noronha
Paras Gurbax Arya
Kranthi Kumar
Vidyadhar Patil
M Gneshwar Naveen
Prateek Jain
Mohsin Khan
Shubhang Hegde
S Punith
Kumar LR
Codanda Ajit Karthik
Gautam Mishra
Krishnappa Gowtham
Shikhar Shetty
M Venkatesh
V Kaverappa
V Koushik
D Devadiga
H Raj
B Dhuri
Avinash D
A Doddamani
Sankalp Shettennavar
Nischith Pai
KC Cariappa
Ritesh Bhatkal
Manvanth Kumar
Yash Punja
K Shashi Kumar
Yashovardhan Parantap
Samarth Nagaraj
Vaibhav Sharma-A
Santokh Singh
Abilash Shetty
Shreevathsa Acharya
Rohan Naveen
s
Shreesha Achar
Nithin Nagaraja
Karthikeya KP
Advith Shetty
Sachin Shinde
Darshan MB
M Gneshwar naveen
M GneshwarNaveen
Madhav Prakash Bajaj
Shashi KumaRohit Kamble
S Hatti
D Prabhakar
A Joshi
Nathan D'Mello
Prasidh Krishna
Kushaal Wadhwani
Ashok D
Sanjay Kumar
Dhanush Gowda
Lankesh KS
Bannur
Shashi Kumar
Gneshwar Naveen
Abhilash Shetty 
Anmol Mathur
Rohan Raju
MB Darshan
Hardik Raj
D Avinash
M Gowda
